iter	Passed	Remaining
359	10919	4246
360	10952	4217
361	10992	4190
362	11027	4161
363	11060	4132
364	11095	4103
365	11130	4075
366	11164	4046
367	11210	4021
368	11246	3992
369	11276	3961
370	11311	3933
371	11343	3903
372	11376	3873
373	11408	3843
374	11443	3814
375	11475	3784
376	11521	3758
377	11559	3730
378	11599	3703
379	11635	3674
380	11675	3646
381	11706	3616
382	11741	3586
383	11774	3556
384	11805	3526
385	11838	3496
386	11872	3466
387	11917	3440
388	11950	3410
389	11983	3379
390	12022	3351
391	12060	3322
392	12094	3292
393	12127	3262
394	12163	3233
395	12199	3203
396	12229	3172
397	12269	3144
398	12301	3113
399	12337	3084
400	12369	3053
401	12402	3023
402	12439	2994
403	12470	2963
404	12509	2934
405	12541	2903
406	12574	2873
407	12612	2844
408	12648	2814
409	12683	2784
410	12716	2753
411	12749	2723
412	12794	2695
413	12829	2664
414	12864	2634
415	12899	2604
416	12936	2574
417	12968	2544
418	13008	2514
419	13044	2484
420	13076	2453
421	13115	2424
422	13147	2393
423	13189	2364
424	13230	2334
425	13265	2304
426	13299	2273
427	13334	2243
428	13368	2212
429	13401	2181
430	13437	2151
431	13472	2120
432	13510	2090
433	13556	2061
434	13590	2030
435	13628	2000
436	13663	1969
437	13696	1938
438	13733	1908
439	13768	1877
440	13804	1846
441	13841	1816
442	13877	1785
443	13913	1754
444	13951	1724
445	13988	1693
446	14025	1662
447	14060	1632
448	14095	1601
449	14131	1570
450	14166	1539
451	14202	1508
452	14236	1477
453	14273	1446
454	14306	1414
455	14339	1383
456	14374	1352
457	14410	1321
458	14447	1290
459	14492	1260
460	14523	1228
461	14555	1197
462	14594	1166
463	14627	1134
464	14660	1103
465	14699	1072
466	14735	1041
467	14768	1009
468	14801	978
469	14837	947
470	14873	915
471	14906	884
472	14943	853
473	14974	821
474	15014	790
475	15049	758
476	15085	727
477	15116	695
478	15149	664
479	15184	632
480	15224	601
481	15263	570
482	15300	538
483	15341	507
484	15375	475
485	15415	444
486	15452	412
487	15494	381
488	15532	349
489	15561	317
490	15594	285
491	15637	254
492	15673	222
493	15713	190
494	15748	159
495	15782	127
496	15817	95
497	15854	63
498	15890	31
499	15925	0
