iter	Tweedie:variance_power=1.5
0	3441.135353
1	3339.67831
2	3241.227296
3	3145.69345
4	3052.990669
5	2963.036355
6	2875.748448
7	2791.049111
8	2708.862217
9	2629.115079
10	2551.73302
11	2476.647141
12	2403.792708
13	2333.098981
14	2264.506555
15	2197.951388
16	2133.37431
17	2070.720264
18	2009.927803
19	1950.942496
20	1893.716147
21	1838.193472
22	1784.325938
23	1732.061
24	1681.355487
25	1632.164178
26	1584.440315
27	1538.143531
28	1493.230132
29	1449.66049
30	1407.395164
31	1366.396197
32	1326.629612
33	1288.053656
34	1250.637286
35	1214.345508
36	1179.148734
37	1145.01209
38	1111.906327
39	1079.801016
40	1048.666694
41	1018.473189
42	989.198071
43	960.8101602
44	933.2873372
45	906.6035286
46	880.7358471
47	855.6600511
48	831.3555522
49	807.7932713
50	784.9568698
51	762.8254509
52	741.3804417
53	720.6000569
54	700.4683163
55	680.9640403
56	662.0698904
57	643.7700723
58	626.046549
59	608.8846494
60	592.266372
61	576.1786684
62	560.6042805
63	545.5325225
64	530.9480474
65	516.834225
66	503.1804471
67	489.9742516
68	477.203368
69	464.8558164
70	452.920675
71	441.3850157
72	430.238295
73	419.4700077
74	409.0714118
75	399.0301593
76	389.3375794
77	379.9829723
78	370.958133
79	362.2537043
80	353.8599812
81	345.7686804
82	337.9733145
83	330.4630853
84	323.2301722
85	316.267332
86	309.5681135
87	303.1241831
88	296.9278314
89	290.9705981
90	285.2489732
91	279.7539468
92	274.4768959
93	269.4153289
94	264.56067
95	259.9054297
96	255.4453467
97	251.1712627
98	247.0802742
99	243.1632155
100	239.4181838
101	235.8359998
102	232.4100325
103	229.1416506
104	226.0218959
105	223.0402771
106	220.2000425
107	217.4910539
108	214.9096521
109	212.4457885
110	210.0994543
111	207.8648895
112	205.7457054
113	203.7302909
114	201.8143575
115	199.994546
116	198.2590905
117	196.6114045
118	195.0505682
119	193.5639334
120	192.1564134
121	190.8253994
122	189.5616994
123	188.368739
124	187.2334492
125	186.1552707
126	185.1330057
127	184.1726239
128	183.2594498
129	182.3880467
130	181.5771983
131	180.805455
132	180.0815741
133	179.3890876
134	178.7357098
135	178.1222219
136	177.538646
137	176.992579
138	176.4791076
139	175.9874342
140	175.5174084
141	175.0803188
142	174.6610445
143	174.2740785
144	173.9093549
145	173.5631953
146	173.2343428
147	172.9270113
148	172.6404341
149	172.3669699
150	172.1086547
151	171.8690272
152	171.6433933
153	171.4275805
154	171.2272968
155	171.0350165
156	170.8528238
157	170.6808846
158	170.5231989
159	170.3731377
160	170.2292885
161	170.0968743
162	169.9691026
163	169.8430337
164	169.7229536
165	169.6194014
166	169.5116044
167	169.4198102
168	169.3286703
