iter	Tweedie:variance_power=1.5
169	169.2462522
170	169.1680195
171	169.0897232
172	169.0197372
173	168.9558522
174	168.8927301
175	168.8360502
176	168.7827756
177	168.7167834
178	168.6621705
179	168.6158901
180	168.574077
181	168.5244654
182	168.4856172
183	168.4468564
184	168.4032697
185	168.3723033
186	168.3432463
187	168.3158449
188	168.290112
189	168.2552935
190	168.2244765
191	168.2030281
192	168.1755686
193	168.1459542
194	168.1197848
195	168.0987882
196	168.0827952
197	168.0615348
198	168.0382774
199	168.0250852
200	168.0099872
201	167.9866836
202	167.9738488
203	167.9589461
204	167.9460287
205	167.9296629
206	167.9207074
207	167.9113342
208	167.8956363
209	167.881548
210	167.8593017
211	167.8418331
212	167.8285198
213	167.8228887
214	167.8143018
215	167.8068148
216	167.7926538
217	167.7786284
218	167.764086
219	167.7515526
220	167.7400249
221	167.7317655
222	167.7221897
223	167.7105186
224	167.7076348
225	167.7016702
226	167.692157
227	167.6866688
228	167.6725622
229	167.6704352
230	167.6600384
231	167.6491101
232	167.6460391
233	167.6439447
234	167.640442
235	167.6360228
236	167.6289934
237	167.62018
238	167.6114718
239	167.6076832
240	167.5994149
241	167.5925545
242	167.5870629
243	167.5733836
244	167.5657126
245	167.5568422
246	167.548866
247	167.5409121
248	167.529946
249	167.5208334
250	167.5117537
251	167.5071876
252	167.5010127
253	167.4959792
254	167.4856214
255	167.4684107
256	167.4667942
257	167.4518415
258	167.4485863
259	167.4425651
260	167.4361217
261	167.424361
262	167.4171364
263	167.4150024
264	167.4041366
265	167.3976863
266	167.394496
267	167.3906568
268	167.3747894
269	167.366489
270	167.3493314
271	167.3423959
272	167.3409427
273	167.336859
274	167.3358884
275	167.3348678
276	167.3289188
277	167.3204118
278	167.3165027
279	167.3082789
280	167.2990065
281	167.2941956
282	167.2904773
283	167.2857348
284	167.2817634
285	167.2798272
286	167.2777037
287	167.2731989
288	167.265769
289	167.2622181
290	167.2517841
291	167.2439456
292	167.2351988
293	167.2332599
294	167.2308452
295	167.2211396
296	167.2131373
297	167.2044578
298	167.198026
299	167.1915595
300	167.1882955
301	167.1842893
302	167.1787875
303	167.1690677
304	167.1603279
305	167.148481
306	167.1441669
307	167.136657
308	167.1292154
309	167.1283428
310	167.1273002
311	167.1191494
312	167.117521
313	167.1148948
314	167.1072628
315	167.0975476
316	167.0905675
317	167.0808888
318	167.0762835
319	167.0738195
320	167.0692582
321	167.0639208
322	167.0548198
323	167.0538592
324	167.0442027
325	167.0368201
326	167.0234975
327	167.0174359
328	167.0074295
329	167.0018134
330	166.9901562
331	166.9802366
332	166.9719065
333	166.9637657
334	166.960277
335	166.9552104
336	166.9494788
337	166.9448012
338	166.93887
339	166.9380103
340	166.9307072
341	166.9299432
342	166.9222734
343	166.9180485
344	166.9137566
345	166.9080464
346	166.900959
347	166.8983389
348	166.8854281
349	166.8844955
350	166.8760168
351	166.8622634
352	166.8566158
353	166.8558888
354	166.8505115
355	166.8412109
356	166.834119
357	166.8310821
358	166.8284001
359	166.8110242
360	166.7999852
361	166.7955665
362	166.7792873
363	166.7743735
364	166.7695986
365	166.7667832
366	166.7573637
367	166.7521542
368	166.7481908
369	166.746355
370	166.7419315
371	166.7385207
372	166.732551
373	166.714431
374	166.7082963
375	166.7018776
376	166.7000241
377	166.6927082
378	166.6882504
379	166.6868334
380	166.6805619
381	166.678341
382	166.6687884
383	166.6590146
384	166.6564794
385	166.654598
386	166.6499199
387	166.6418503
388	166.6390017
389	166.6331689
390	166.6213677
391	166.6137014
392	166.6096879
393	166.5981751
394	166.5950569
395	166.5833896
396	166.5808564
397	166.5801821
398	166.5767057
399	166.5652305
400	166.5614727
401	166.5606585
402	166.5538569
403	166.5497375
404	166.5468767
405	166.5431287
406	166.5406492
407	166.536439
408	166.5354784
409	166.5327398
410	166.5212966
411	166.5050659
412	166.5040379
413	166.4954653
414	166.4874253
415	166.4796569
416	166.4734337
417	166.4638053
418	166.4615549
419	166.456641
420	166.4427548
421	166.4395521
422	166.4351023
423	166.4263164
424	166.4235867
425	166.421407
426	166.4184199
427	166.411917
428	166.4073775
429	166.4047832
430	166.3999746
431	166.389814
432	166.3863806
433	166.3832785
434	166.3701791
435	166.3653968
436	166.3592419
437	166.356916
438	166.3563679
439	166.3491926
440	166.3462415
441	166.3434876
442	166.3360891
443	166.3274273
444	166.3224424
445	166.320089
446	166.3162913
447	166.3115124
448	166.3021003
449	166.2930355
450	166.2851813
451	166.2756677
452	166.2685822
453	166.2655892
454	166.2588543
455	166.253001
456	166.2473666
457	166.2377224
458	166.2332221
459	166.2235874
460	166.215194
461	166.2130094
462	166.2028995
463	166.2012524
464	166.19943
465	166.1874082
466	166.1806426
467	166.167882
468	166.1631306
469	166.1589082
470	166.1559081
471	166.1479007
472	166.1467668
473	166.1392111
474	166.1305965
475	166.1278347
476	166.1219054
477	166.1166718
478	166.1029511
479	166.096587
480	166.0849997
481	166.0808675
482	166.0757806
483	166.0679433
484	166.0597292
485	166.0553008
486	166.0509274
487	166.0415847
488	166.0340757
489	166.0214126
490	166.0174174
491	166.0141668
492	166.0093626
493	166.0085735
494	166.0070285
495	166.0027869
496	165.9977197
497	165.9909226
498	165.9878056
499	165.9833895
