2026-04-14 11:32:03,126 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 11:32:03,126 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:32:03,126 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:32:03,128 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 11:32:04,452 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 11:32:04,453 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:32:04,453 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:32:05,439 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 11:32:05,440 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 11:32:05,440 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:32:05,440 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:32:05,443 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 11:39:01,250 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 11:39:01,250 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:39:01,251 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:39:02,113 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 11:39:02,114 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 11:39:02,114 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:39:02,114 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:39:02,115 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 11:41:54,404 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 11:41:54,404 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:41:54,405 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:41:55,934 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 11:41:55,935 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 11:41:55,935 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:41:55,935 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:41:55,937 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 11:45:32,430 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 11:45:32,431 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:45:32,431 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:45:33,292 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 11:45:33,375 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 11:45:33,375 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 11:45:33,375 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 11:45:33,377 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 11:46:56,381 | INFO | app.services.service | Chargement des bundles modèles
